province id,province terrain
1355,inland_ocean
1358,inland_ocean
1360,inland_ocean
1361,inland_ocean
1362,inland_ocean
1363,inland_ocean
1364,inland_ocean
1365,inland_ocean
1366,inland_ocean
1367,inland_ocean
1368,inland_ocean
1369,inland_ocean
1370,inland_ocean
1371,inland_ocean
1393,inland_ocean
1394,inland_ocean
1395,inland_ocean
1359,inland_ocean
1398,inland_ocean
1399,inland_ocean
1400,inland_ocean
1356,inland_ocean
1357,inland_ocean
1401,inland_ocean
1408,inland_ocean
1409,inland_ocean
1410,inland_ocean
1348,inland_ocean
1347,inland_ocean
1345,inland_ocean
1402,inland_ocean
4357,inland_ocean
1397,inland_ocean [cite: 2]
4358,inland_ocean [cite: 2]
1353,inland_ocean [cite: 2]
1352,inland_ocean [cite: 2]
1351,inland_ocean [cite: 2]
1350,inland_ocean [cite: 2]
1354,inland_ocean [cite: 2]
1034,glacier
1035,glacier
1104,glacier
1105,glacier
2074,glacier
2128,glacier
2129,glacier
2025,glacier
2440,glacier
2574,glacier
104,farmlands
109,farmlands
108,farmlands
1744,farmlands
1865,farmlands
45,farmlands
44,farmlands
1874,farmlands
113,farmlands
172,farmlands
161,farmlands
2998,farmlands
160,farmlands
125,farmlands
506,farmlands
507,farmlands
510,farmlands
522,farmlands
523,farmlands
524,farmlands
532,farmlands
540,farmlands
555,farmlands
556,farmlands
558,farmlands
561,farmlands
563,farmlands
2026,farmlands
2044,farmlands
2045,farmlands
2047,farmlands
2060,farmlands
2063,farmlands
2075,farmlands
2095,farmlands
115,farmlands
117,farmlands
118,farmlands
121,farmlands
1862,farmlands
916,farmlands
917,farmlands
920,farmlands
925,farmlands [cite: 3]
930,farmlands [cite: 3]
2532,farmlands [cite: 3]
584,farmlands
600,farmlands
153,farmlands
1772,farmlands
613,farmlands
2380,farmlands
169,farmlands
177,farmlands
180,farmlands
1879,farmlands
167,farmlands
183,farmlands
192,farmlands
191,farmlands
1877,farmlands
200,farmlands
2753,farmlands
1868,farmlands
68,farmlands
77,farmlands
70,farmlands
65,farmlands
78,farmlands
1841,farmlands
266,farmlands
255,farmlands
254,farmlands
258,farmlands
259,farmlands
260,farmlands
134,farmlands
151,farmlands
152,farmlands
1767,farmlands
1954,farmlands
150,farmlands
268,farmlands
280,farmlands
1876,farmlands
243,farmlands
245,farmlands
248,farmlands
410,farmlands
